car_id,make,model,year,starting_price,availability
1, Toyota, Camry LE, 2020, $40/day
2, Ford, Mustang GT, 2019, $60/day
3, Honda, Civic LX, 2021, $45/day
4, Chevrolet, Silverado 1500 LT, 2018, $55/day
5, BMW, 3 Series 330i, 2022, $70/day
6, Mercedes-Benz, E-Class E350, 2017, $65/day
7, Audi, A4 Premium, 2020, $60/day
8, Tesla, Model S Performance, 2023, $150/day
9, Subaru, Outback Limited, 2019, $55/day
10, Nissan, Altima SV, 2021, $50/day
11, Ford, F-150 XLT, 2018, $65/day
12, Toyota, Corolla SE, 2020, $40/day
13, Volkswagen, Jetta GLI, 2022, $45/day
14, Hyundai, Sonata SEL, 2019, $50/day
15, Jeep, Wrangler Rubicon, 2021, $80/day
16, Chevrolet, Tahoe Premier, 2017, $100/day
17, Lexus, RX 350 F Sport, 2020, $90/day
18, Mazda, CX-5 Grand Touring, 2019, $55/day
19, Kia, Telluride SX, 2022, $80/day
20, Dodge, Charger R/T, 2018, $70/day
21, Subaru, Forester Touring, 2021, $60/day
22, Honda, Accord Sport, 2020, $50/day
23, Ford, Explorer Limited, 2019, $70/day
24, GMC, Sierra 2500HD Denali, 2022, $120/day
25, BMW, X5 xDrive40i, 2018, $100/day
26, Mercedes-Benz, C-Class C300, 2021, $65/day
27, Audi, Q5 Premium Plus, 2019, $75/day
28, Tesla, Model 3 Long Range, 2023, $120/day
29, Toyota, Highlander XLE, 2020, $80/day
30, Nissan, Rogue SL, 2018, $55/day
31, Ford, Escape Titanium, 2022, $60/day
32, Volkswagen, Atlas Cross Sport SE, 2019, $70/day
33, Hyundai, Tucson Ultimate, 2021, $65/day
34, Jeep, Grand Cherokee Limited, 2018, $75/day
35, Chevrolet, Equinox LT, 2020, $55/day
36, Lexus, NX 300h Luxury, 2019, $70/day
37, Mazda, Mazda3 Premium, 2022, $50/day
38, Kia, Sportage SX Turbo, 2017, $60/day
39, Dodge, Challenger SRT Hellcat, 2020, $110/day
40, Subaru, Crosstrek Limited, 2018, $55/day
41, Honda, CR-V EX-L, 2021, $65/day
42, Ford, Edge SEL, 2019, $60/day
